id,dimension_id,subdimension_id,texto_pregunta,tipo_pregunta,opciones_respuesta
"D1.2.6","1","1.2","Cuando se implementa una nueva tecnología, ¿cómo es la colaboración entre áreas?","SELECCION_UNICA","[{""texto"": ""Muy colaborativa, trabajan juntos"", ""valor"": 100}, {""texto"": ""Hay coordinación, pero trabajan en silos"", ""valor"": 40}, {""texto"": ""Suele haber conflictos"", ""valor"": 10}]"
"D1.2.7","1","1.2","¿Los líderes de la empresa utilizan activamente las herramientas digitales que se promueven?","BINARIA","[{""texto"": ""Sí, son los primeros en usarlas"", ""valor"": 100}, {""texto"": ""No, usan métodos tradicionales"", ""valor"": 20}]"
"D1.3.1","1","1.3","Al tomar una decisión importante, ¿en qué te basas principalmente?","SELECCION_UNICA","[{""texto"": ""Análisis de datos e informes"", ""valor"": 100}, {""texto"": ""Mezcla de datos e intuición"", ""valor"": 60}, {""texto"": ""Principalmente en intuición/experiencia"", ""valor"": 20}, {""texto"": ""En lo que hace la competencia"", ""valor"": 0}]"
"D1.3.2","1","1.3","¿Cómo gestiona tu empresa la información de sus clientes?","SELECCION_UNICA","[{""texto"": ""En un CRM centralizado"", ""valor"": 100}, {""texto"": ""En una hoja de cálculo organizada"", ""valor"": 70}, {""texto"": ""Dispersa en emails y libretas"", ""valor"": 20}, {""texto"": ""No se registra sistemáticamente"", ""valor"": 0}]"
"D1.3.3","1","1.3","¿Qué tipos de indicadores (KPIs) mides de forma periódica?","SELECCION_MULTIPLE","[{""texto"": ""Financieros"", ""valor"": 25}, {""texto"": ""Comerciales"", ""valor"": 25}, {""texto"": ""Operativos"", ""valor"": 25}, {""texto"": ""Satisfacción del Cliente"", ""valor"": 25}]"
"D1.3.4","1","1.3","¿El personal que necesita datos para su trabajo puede acceder a ellos de forma autónoma?","SELECCION_UNICA","[{""texto"": ""Sí, acceso directo y en tiempo real"", ""valor"": 100}, {""texto"": ""Necesitan solicitar la información"", ""valor"": 40}, {""texto"": ""El acceso a la información es difícil"", ""valor"": 10}]"
"D1.3.5","1","1.3","¿Existe una persona o rol responsable de la gestión y calidad de los datos?","BINARIA","[{""texto"": ""Sí"", ""valor"": 100}, {""texto"": ""No"", ""valor"": 0}]"
"D1.3.6","1","1.3","¿Tu empresa cuenta con una política escrita sobre el uso y protección de datos?","BINARIA","[{""texto"": ""Sí, tenemos una política de privacidad"", ""valor"": 100}, {""texto"": ""No, no la tenemos documentada"", ""valor"": 10}]"
"D1.3.7","1","1.3","¿Tu empresa ha invertido en herramientas o capacitación para analizar datos?","BINARIA","[{""texto"": ""Sí"", ""valor"": 100}, {""texto"": ""No"", ""valor"": 0}]"
"D2.1.1","2","2.1","¿Cómo llevas la contabilidad y las finanzas de tu negocio?","SELECCION_UNICA","[{""texto"": ""ERP o software contable integrado"", ""valor"": 100}, {""texto"": ""Software contable independiente"", ""valor"": 70}, {""texto"": ""Hojas de cálculo o gestor externo"", ""valor"": 40}, {""texto"": ""Manual o en cuadernos"", ""valor"": 10}]"
"D2.1.2","2","2.1","¿Tu empresa utiliza facturación electrónica de acuerdo con la normativa vigente?","BINARIA","[{""texto"": ""Sí, la mayoría es electrónica"", ""valor"": 100}, {""texto"": ""No, o solo excepcionalmente"", ""valor"": 0}]"
"D2.1.3","2","2.1","¿Qué herramientas digitales utiliza tu equipo para crear y compartir documentos?","SELECCION_MULTIPLE","[{""texto"": ""Sistema de gestión documental (DMS)"", ""valor"": 50}, {""texto"": ""Carpetas en la nube (Drive, etc.)"", ""valor"": 40}, {""texto"": ""Adjuntos de email"", ""valor"": 10}, {""texto"": ""Documentación física"", ""valor"": 0}]"
"D2.1.4","2","2.1","Para la comunicación y coordinación interna, ¿qué herramientas son de uso habitual?","SELECCION_MULTIPLE","[{""texto"": ""Plataforma de colaboración (Slack, Teams)"", ""valor"": 50}, {""texto"": ""Calendarios digitales compartidos"", ""valor"": 25}, {""texto"": ""Grupos de WhatsApp"", ""valor"": 15}, {""texto"": ""Correo electrónico"", ""valor"": 10}]"
"D2.1.5","2","2.1","¿El proceso de cálculo y pago de la nómina está automatizado con algún software?","BINARIA","[{""texto"": ""Sí, usamos un software específico"", ""valor"": 100}, {""texto"": ""No, se calcula manualmente"", ""valor"": 20}]"
"D2.1.6","2","2.1","¿Los empleados pueden acceder remotamente a las herramientas de trabajo?","SELECCION_MULTIPLE","[{""texto"": ""A las aplicaciones principales (CRM, etc.)"", ""valor"": 50}, {""texto"": ""A los documentos en la nube"", ""valor"": 30}, {""texto"": ""Al correo electrónico"", ""valor"": 20}, {""texto"": ""No hay soluciones para trabajo remoto"", ""valor"": 0}]"
"D2.1.7","2","2.1","¿Has automatizado algún proceso administrativo repetitivo?","BINARIA","[{""texto"": ""Sí, uno o más flujos de trabajo"", ""valor"": 100}, {""texto"": ""No, todos son manuales"", ""valor"": 0}]"
"D2.2.1","2","2.2","¿Cómo gestionas la información de tus proveedores?","SELECCION_UNICA","[{""texto"": ""En un módulo SRM/ERP"", ""valor"": 100}, {""texto"": ""En una hoja de cálculo centralizada"", ""valor"": 60}, {""texto"": ""Dispersa en emails y catálogos"", ""valor"": 20}, {""texto"": ""No hay registro sistemático"", ""valor"": 0}]"
"D2.2.2","2","2.2","¿Qué herramientas utilizas para realizar pedidos a tus proveedores?","SELECCION_MULTIPLE","[{""texto"": ""Pedidos electrónicos integrados"", ""valor"": 50}, {""texto"": ""Portales web o marketplaces B2B"", ""valor"": 30}, {""texto"": ""Órdenes de compra por email"", ""valor"": 20}, {""texto"": ""Teléfono o WhatsApp"", ""valor"": 10}]"
"D2.2.3","2","2.2","¿Cómo determinas cuándo y cuánto material o insumos necesitas comprar?","SELECCION_UNICA","[{""texto"": ""Con un sistema MRP automático"", ""valor"": 100}, {""texto"": ""Con hojas de cálculo avanzadas"", ""valor"": 60}, {""texto"": ""Revisión visual e intuición"", ""valor"": 20}, {""texto"": ""Compro cuando se agota"", ""valor"": 0}]"
"D2.2.4","2","2.2","¿Tienes visibilidad digital sobre el estado de los pedidos a tus proveedores?","BINARIA","[{""texto"": ""Sí, a través de portales de seguimiento"", ""valor"": 100}, {""texto"": ""No, la confirmación es por teléfono/email"", ""valor"": 20}]"
"D2.2.5","2","2.2","¿El proceso de recepción y pago de facturas de proveedores está digitalizado?","SELECCION_UNICA","[{""texto"": ""Sí, integrado en el ERP/software contable"", ""valor"": 100}, {""texto"": ""Recibimos PDFs y procesamos manualmente"", ""valor"": 50}, {""texto"": ""Se basa en facturas de papel"", ""valor"": 10}]"
"D2.2.6","2","2.2","¿Utilizas alguna plataforma digital para colaborar con tus proveedores más allá del pedido?","BINARIA","[{""texto"": ""Sí, usamos portales colaborativos"", ""valor"": 100}, {""texto"": ""No, la colaboración es por reuniones/llamadas"", ""valor"": 10}]"
"D2.2.7","2","2.2","¿Mides de alguna forma el rendimiento de tus proveedores?","SELECCION_UNICA","[{""texto"": ""Sí, con un sistema de calificación e indicadores"", ""valor"": 100}, {""texto"": ""Sí, de forma informal o cualitativa"", ""valor"": 40}, {""texto"": ""No, no los evaluamos formalmente"", ""valor"": 0}]"
"D2.3.1","2","2.3","Para organizar las tareas de producción/servicios, ¿qué método usas principalmente?","SELECCION_MULTIPLE","[{""texto"": ""Software de gestión de producción (ERP)"", ""valor"": 50}, {""texto"": ""Hojas de cálculo o pizarra"", ""valor"": 25}, {""texto"": ""Apps de gestión de tareas"", ""valor"": 15}, {""texto"": ""Procesos escritos a mano o en Word"", ""valor"": 10}]"
"D2.3.2","2","2.3","Pensando en tus herramientas de producción, ¿cuál situación te describe mejor?","SELECCION_UNICA","[{""texto"": ""Usamos máquinas programadas por computador"", ""valor"": 100}, {""texto"": ""Usamos máquinas eléctricas manejadas por personas"", ""valor"": 50}, {""texto"": ""Nuestro trabajo es principalmente manual"", ""valor"": 10}]"
"D2.3.3","2","2.3","¿Tu empresa recopila datos de los procesos productivos para su posterior análisis?","BINARIA","[{""texto"": ""Sí, con sensores o sistemas automáticos"", ""valor"": 100}, {""texto"": ""No, los datos se anotan manualmente"", ""valor"": 20}]"
"D2.3.4","2","2.3","¿Cómo gestionas el mantenimiento de tus equipos clave?","SELECCION_UNICA","[{""texto"": ""Con un sistema de mantenimiento predictivo"", ""valor"": 100}, {""texto"": ""Con un software GMAO para mantenimiento preventivo"", ""valor"": 70}, {""texto"": ""De forma correctiva, pero con registro"", ""valor"": 30}, {""texto"": ""De forma correctiva, sin registro"", ""valor"": 0}]"
"D2.3.5","2","2.3","¿Qué métodos de control de calidad utilizas?","SELECCION_MULTIPLE","[{""texto"": ""Sistemas automatizados de inspección"", ""valor"": 40}, {""texto"": ""Control estadístico de procesos (SPC)"", ""valor"": 30}, {""texto"": ""Inspección humana asistida por tablets"", ""valor"": 20}, {""texto"": ""Inspección manual y visual"", ""valor"": 10}]"
"D2.3.6","2","2.3","¿Cómo controlas la logística de salida de tus productos?","SELECCION_UNICA","[{""texto"": ""Con un sistema de seguimiento en tiempo real"", ""valor"": 100}, {""texto"": ""Con un sistema que informa estados (en bodega, etc.)"", ""valor"": 70}, {""texto"": ""Se registra la salida en hojas de cálculo"", ""valor"": 30}, {""texto"": ""Se registra en papel"", ""valor"": 10}]"
"D2.3.7","2","2.3","¿Tu empresa ha implementado alguna de estas prácticas de mejora continua?","SELECCION_MULTIPLE","[{""texto"": ""Certificación ISO 9001"", ""valor"": 30}, {""texto"": ""Seis Sigma o TQM"", ""valor"": 30}, {""texto"": ""Lean, JIT o Kaizen"", ""valor"": 20}, {""texto"": ""Ninguna"", ""valor"": 0}]"
"D3.1.1","3","3.1","¿Cuáles de los siguientes canales utilizas para que los clientes te conozcan?","SELECCION_MULTIPLE","[{""texto"": ""Perfiles en redes sociales"", ""valor"": 40}, {""texto"": ""Página web propia"", ""valor"": 30}, {""texto"": ""Anuncios pagados en Internet"", ""valor"": 20}, {""texto"": ""Canales tradicionales (voz a voz, etc.)"", ""valor"": 10}]"
"D3.1.2","3","3.1","Si tienes una página web, ¿cuál de estas descripciones se ajusta más a ella?","SELECCION_UNICA","[{""texto"": ""Tienda online con carrito y pagos"", ""valor"": 100}, {""texto"": ""Página web informativa (folleto digital)"", ""valor"": 50}, {""texto"": ""Página muy básica con datos de contacto"", ""valor"": 20}, {""texto"": ""No tengo página web"", ""valor"": 0}]"
"D3.1.3","3","3.1","¿Con qué frecuencia publicas contenido nuevo en las redes sociales de tu negocio?","SELECCION_UNICA","[{""texto"": ""De forma planificada, varias veces por semana"", ""valor"": 100}, {""texto"": ""Al menos una vez a la semana"", ""valor"": 70}, {""texto"": ""De forma esporádica"", ""valor"": 30}, {""texto"": ""Casi nunca o nunca"", ""valor"": 0}]"
"D3.1.4","3","3.1","¿Utilizas fotos y videos de buena calidad para mostrar tus productos o servicios?","BINARIA","[{""texto"": ""Sí, le doy mucha importancia a la calidad visual"", ""valor"": 100}, {""texto"": ""No, uso fotos sencillas hechas con el celular"", ""valor"": 30}]"
"D3.1.5","3","3.1","¿Has realizado alguna acción para que tu negocio aparezca en los primeros resultados de Google?","BINARIA","[{""texto"": ""Sí, he trabajado en optimizar mi web o perfil"", ""valor"": 100}, {""texto"": ""No, no he realizado ninguna acción específica"", ""valor"": 10}]"
"D3.1.6","3","3.1","Cuando alguien comenta en tus redes sociales, ¿cuánto tardas en responder?","SELECCION_UNICA","[{""texto"": ""En unas pocas horas"", ""valor"": 100}, {""texto"": ""En el transcurso de un día"", ""valor"": 60}, {""texto"": ""Varios días o a veces se me pasa"", ""valor"": 20}]"
"D3.1.7","3","3.1","¿Tienes algún método para guardar la información de contacto de potenciales clientes?","SELECCION_UNICA","[{""texto"": ""Sí, con un formulario de suscripción"", ""valor"": 100}, {""texto"": ""Los apunto en una libreta u hoja de cálculo"", ""valor"": 40}, {""texto"": ""No, no tengo un método para registrarlos"", ""valor"": 0}]"
"D3.2.1","3","3.2","¿A través de qué medios vendes tus productos o servicios?","SELECCION_MULTIPLE","[{""texto"": ""Tienda o local físico"", ""valor"": 10}, {""texto"": ""Propia página web (e-commerce)"", ""valor"": 40}, {""texto"": ""Marketplaces (Mercado Libre, etc.)"", ""valor"": 25}, {""texto"": ""Redes sociales (Instagram, WhatsApp)"", ""valor"": 20}]"
"D3.2.2","3","3.2","Distribuye el porcentaje de tus ventas del último año entre los siguientes canales.","DISTRIBUCION_PORCENTUAL","[{""categoria"": ""Local físico""}, {""categoria"": ""Página web""}, {""categoria"": ""Marketplaces""}, {""categoria"": ""Redes sociales""}, {""categoria"": ""Otros""}]"
"D3.2.3","3","3.2","¿Qué métodos de pago ofreces a tus clientes?","SELECCION_MULTIPLE","[{""texto"": ""Pasarela de pagos online"", ""valor"": 40}, {""texto"": ""Plataformas como Nequi/Daviplata"", ""valor"": 30}, {""texto"": ""Transferencia bancaria"", ""valor"": 20}, {""texto"": ""Pago contra-entrega"", ""valor"": 10}]"
"D3.2.4","3","3.2","Al momento de la venta, ¿ofreces algún tipo de personalización?","SELECCION_UNICA","[{""texto"": ""Sí, el cliente la configura desde una plataforma"", ""valor"": 100}, {""texto"": ""Sí, se coordina por chat/teléfono"", ""valor"": 60}, {""texto"": ""No, nuestros productos son estándar"", ""valor"": 10}]"
"D3.2.5","3","3.2","Cuando realizas una venta, ¿dónde queda registrada la información?","SELECCION_UNICA","[{""texto"": ""En un sistema informático (POS, ERP)"", ""valor"": 100}, {""texto"": ""En una hoja de cálculo"", ""valor"": 50}, {""texto"": ""En un cuaderno o libreta"", ""valor"": 10}, {""texto"": ""No llevo un registro detallado"", ""valor"": 0}]"
"D3.2.6","3","3.2","Si tus clientes necesitan una cotización, ¿cómo gestionas ese proceso?","SELECCION_UNICA","[{""texto"": ""Con una herramienta de auto-cotización en la web"", ""valor"": 100}, {""texto"": ""Con plantillas de software (Word, Excel)"", ""valor"": 60}, {""texto"": ""De forma manual o verbal"", ""valor"": 20}, {""texto"": ""No aplica"", ""valor"": null}]"
"D3.2.7","3","3.2","Si un cliente te contacta por un canal y compra por otro, ¿puedes conectar la información?","BINARIA","[{""texto"": ""Sí, intentamos reconocer al cliente"", ""valor"": 100}, {""texto"": ""No, cada canal es independiente"", ""valor"": 30}]"
"D3.3.1","3","3.3","¿Tu empresa usa su base de datos de clientes para acciones de marketing?","SELECCION_UNICA","[{""texto"": ""Sí, para comunicaciones personalizadas"", ""valor"": 100}, {""texto"": ""Sí, pero no de forma regular"", ""valor"": 40}, {""texto"": ""No, no tenemos base de datos"", ""valor"": 0}]"
"D3.3.2","3","3.3","¿Qué canales ofreces para soporte post-venta?","SELECCION_MULTIPLE","[{""texto"": ""Sistema de tickets o chat en la web"", ""valor"": 40}, {""texto"": ""WhatsApp Business dedicado"", ""valor"": 30}, {""texto"": ""Correo electrónico"", ""valor"": 20}, {""texto"": ""Teléfono o atención en local"", ""valor"": 10}]"
"D3.3.3","3","3.3","¿Realizas encuestas de satisfacción a tus clientes?","BINARIA","[{""texto"": ""Sí, de forma sistemática"", ""valor"": 100}, {""texto"": ""No, no medimos la satisfacción"", ""valor"": 10}]"
"D3.3.4","3","3.3","¿Tu empresa tiene algún programa para premiar la lealtad de clientes?","SELECCION_UNICA","[{""texto"": ""Sí, un programa de puntos o club digital"", ""valor"": 100}, {""texto"": ""Sí, descuentos informales"", ""valor"": 50}, {""texto"": ""No, no tenemos programa de fidelización"", ""valor"": 0}]"
"D3.3.5","3","3.3","¿Te comunicas proactivamente con tus clientes actuales (newsletters, etc.)?","SELECCION_UNICA","[{""texto"": ""Sí, por email o WhatsApp segmentado"", ""valor"": 100}, {""texto"": ""Sí, con publicaciones generales en redes"", ""valor"": 50}, {""texto"": ""No, solo si ellos me contactan"", ""valor"": 10}]"
"D3.3.6","3","3.3","¿Qué haces con las reseñas que los clientes dejan sobre tu negocio en internet?","SELECCION_UNICA","[{""texto"": ""Las monitoreo y respondo a todas"", ""valor"": 100}, {""texto"": ""Las leo de vez en cuando"", ""valor"": 40}, {""texto"": ""No les presto atención"", ""valor"": 0}]"
"D3.3.7","3","3.3","¿Utilizas los datos de compras pasadas para ofrecer recomendaciones personalizadas?","BINARIA","[{""texto"": ""Sí, intentamos personalizar la oferta"", ""valor"": 100}, {""texto"": ""No, todos reciben la misma oferta"", ""valor"": 20}]"
"D4.1.1","4","4.1","¿Cuál es el principal tipo de computador que se utiliza en tu negocio?","SELECCION_UNICA","[{""texto"": ""Equipos con menos de 4 años"", ""valor"": 100}, {""texto"": ""Equipos con más de 4 años"", ""valor"": 50}, {""texto"": ""Principalmente tabletas o móviles"", ""valor"": 30}, {""texto"": ""No usamos computadores"", ""valor"": 0}]"
"D4.1.2","4","4.1","¿Los empleados que necesitan un computador tienen uno asignado para su uso exclusivo?","BINARIA","[{""texto"": ""Sí, cada uno tiene el suyo"", ""valor"": 100}, {""texto"": ""No, los equipos se comparten"", ""valor"": 20}]"
"D4.1.3","4","4.1","¿Tu negocio utiliza smartphones o tabletas para alguna de estas tareas?","SELECCION_MULTIPLE","[{""texto"": ""Procesar ventas o pagos"", ""valor"": 40}, {""texto"": ""Gestionar redes sociales"", ""valor"": 30}, {""texto"": ""Gestionar inventarios"", ""valor"": 20}, {""texto"": ""Revisar correos y agenda"", ""valor"": 10}]"
"D4.1.4","4","4.1","Si usas maquinaria, ¿alguna está conectada a un computador para extraer datos?","BINARIA","[{""texto"": ""Sí"", ""valor"": 100}, {""texto"": ""No"", ""valor"": 10}, {""texto"": ""No aplica"", ""valor"": null}]"
"D4.1.5","4","4.1","¿Tu empresa cuenta con impresoras, escáneres, etc., en buen estado?","BINARIA","[{""texto"": ""Sí, y funcionan correctamente"", ""valor"": 100}, {""texto"": ""No, a menudo tenemos problemas"", ""valor"": 30}]"
"D4.1.6","4","4.1","¿Existe una política o plan para renovar los equipos informáticos?","SELECCION_UNICA","[{""texto"": ""Sí, un ciclo de renovación planificado"", ""valor"": 100}, {""texto"": ""Se actualizan cuando se vuelven lentos"", ""valor"": 40}, {""texto"": ""Solo se reemplazan si se dañan"", ""valor"": 10}]"
"D4.1.7","4","4.1","¿Quién se encarga del mantenimiento técnico de tus equipos?","SELECCION_UNICA","[{""texto"": ""Un proveedor o persona interna experta"", ""valor"": 100}, {""texto"": ""Un técnico conocido cuando hay problemas"", ""valor"": 50}, {""texto"": ""Nosotros mismos o amigos/familiares"", ""valor"": 20}]"
"D4.2.1","4","4.2","Aparte de ofimática, ¿utilizas algún software especializado para estas áreas?","SELECCION_MULTIPLE","[{""texto"": ""Contabilidad o facturación"", ""valor"": 30}, {""texto"": ""Gestión de clientes (CRM)"", ""valor"": 30}, {""texto"": ""Control de inventarios"", ""valor"": 20}, {""texto"": ""Gestión de proyectos"", ""valor"": 10}]"
"D4.2.2","4","4.2","Si utilizas varios programas, ¿se comunican entre sí de forma automática?","SELECCION_UNICA","[{""texto"": ""Sí, la mayoría están integrados"", ""valor"": 100}, {""texto"": ""Algunos sí, otros no"", ""valor"": 50}, {""texto"": ""No, cada uno funciona por separado"", ""valor"": 10}, {""texto"": ""No aplica"", ""valor"": null}]"
"D4.2.3","4","4.2","¿El software que utilizas en tu negocio cuenta con licencias legales y está actualizado?","BINARIA","[{""texto"": ""Sí, todo es legal y está actualizado"", ""valor"": 100}, {""texto"": ""No, usamos software sin licencia o antiguo"", ""valor"": 0}]"
"D4.2.4","4","4.2","¿Tu empresa utiliza servicios o aplicaciones basadas en la nube (SaaS)?","BINARIA","[{""texto"": ""Sí, la mayoría de nuestras herramientas"", ""valor"": 100}, {""texto"": ""No, usamos software instalado localmente"", ""valor"": 20}]"
"D4.2.5","4","4.2","¿Has personalizado tu software para que se adapte mejor a tus necesidades?","SELECCION_UNICA","[{""texto"": ""Sí, con desarrollos a medida"", ""valor"": 100}, {""texto"": ""Sí, con las opciones de configuración"", ""valor"": 60}, {""texto"": ""No, lo usamos como viene"", ""valor"": 20}]"
"D4.2.6","4","4.2","Cuando necesitas un nuevo software, ¿cómo es tu proceso de selección?","SELECCION_UNICA","[{""texto"": ""Análisis estructurado y prueba piloto"", ""valor"": 100}, {""texto"": ""Buscamos recomendaciones"", ""valor"": 50}, {""texto"": ""Elegimos la primera opción o la más barata"", ""valor"": 10}]"
"D4.2.7","4","4.2","¿Tu equipo tiene autonomía para gestionar el software que utiliza a diario?","BINARIA","[{""texto"": ""Sí, bastante autonomía"", ""valor"": 100}, {""texto"": ""No, dependemos de un técnico externo"", ""valor"": 30}]"
"D4.3.1","4","4.3","¿Qué tipo de conexión a Internet principal tiene tu negocio?","SELECCION_UNICA","[{""texto"": ""Fibra óptica"", ""valor"": 100}, {""texto"": ""Cable o DSL"", ""valor"": 70}, {""texto"": ""Inalámbrica (4G/5G) o satelital"", ""valor"": 40}, {""texto"": ""No tenemos conexión dedicada"", ""valor"": 0}]"
"D4.3.2","4","4.3","¿La velocidad de tu conexión a Internet suele ser suficiente para tus necesidades?","BINARIA","[{""texto"": ""Sí, generalmente es adecuada"", ""valor"": 100}, {""texto"": ""No, a menudo es lenta"", ""valor"": 20}]"
"D4.3.3","4","4.3","En un mes típico, ¿cuántas veces se cae tu servicio de Internet?","SELECCION_UNICA","[{""texto"": ""Nunca o casi nunca"", ""valor"": 100}, {""texto"": ""Una o dos veces"", ""valor"": 60}, {""texto"": ""Varias veces al mes"", ""valor"": 20}, {""texto"": ""Es muy inestable"", ""valor"": 0}]"
"D4.3.4","4","4.3","¿Los equipos de tu oficina están conectados en una red local (LAN)?","BINARIA","[{""texto"": ""Sí, para compartir recursos"", ""valor"": 100}, {""texto"": ""No, cada equipo es independiente"", ""valor"": 30}]"
"D4.3.5","4","4.3","Si tienes un local, ¿ofreces una red Wi-Fi separada para clientes?","BINARIA","[{""texto"": ""Sí, una red de invitados separada"", ""valor"": 100}, {""texto"": ""Compartimos la misma red de la empresa"", ""valor"": 30}, {""texto"": ""No ofrecemos Wi-Fi"", ""valor"": 10}, {""texto"": ""No aplica"", ""valor"": null}]"
"D4.3.6","4","4.3","¿La red de tu negocio está protegida con una contraseña segura y un firewall?","BINARIA","[{""texto"": ""Sí, con contraseña robusta y firewall"", ""valor"": 100}, {""texto"": ""No, o no estamos seguros"", ""valor"": 20}]"
"D4.3.7","4","4.3","Si tus empleados trabajan remotamente, ¿usan una VPN para conectarse?","BINARIA","[{""texto"": ""Sí, todas las conexiones son por VPN"", ""valor"": 100}, {""texto"": ""No, se conectan directamente"", ""valor"": 20}, {""texto"": ""No aplica"", ""valor"": null}]"
"D5.1.1","5","5.1","¿Cuál es el nivel de dominio de tu equipo con herramientas como Excel o Word?","SELECCION_UNICA","[{""texto"": ""Avanzado (macros, tablas dinámicas)"", ""valor"": 100}, {""texto"": ""Intermedio"", ""valor"": 60}, {""texto"": ""Básico"", ""valor"": 20}, {""texto"": ""Muy bajo o nulo"", ""valor"": 0}]"
"D5.1.2","5","5.1","¿Qué herramientas de comunicación digital utiliza tu equipo eficientemente?","SELECCION_MULTIPLE","[{""texto"": ""Email profesional"", ""valor"": 30}, {""texto"": ""Plataformas de videoconferencia"", ""valor"": 30}, {""texto"": ""Apps de mensajería"", ""valor"": 20}, {""texto"": ""Plataformas de colaboración"", ""valor"": 20}]"
"D5.1.3","5","5.1","¿Qué tan hábil es tu equipo para buscar y validar información en Internet?","SELECCION_UNICA","[{""texto"": ""Muy hábil, distinguen fuentes fiables"", ""valor"": 100}, {""texto"": ""Moderadamente hábil"", ""valor"": 60}, {""texto"": ""Poco hábil"", ""valor"": 20}]"
